,Rank,Name,Country,Website,Facebook,Twitter,Instagram,Pinterest,Snapchat,Youtube,Alexa,Growing
4228,1,Culture Kings NZ,New Zealand,https://www.culturekings.co.nz/,https://www.facebook.com/culturekings.com.au,https://twitter.com/culturekings,https://www.instagram.com/culturekings,https://www.pinterest.com/culturek/,https://www.snapchat.com/add/culturekings,https://www.youtube.com/user/officialculturekings,"93,724",289
4229,2,Empire Skate,New Zealand,https://www.empireskate.co.nz/,https://www.facebook.com/EmpireSkate/,,https://www.instagram.com/empireskateshop,,,https://www.youtube.com/channel/UC9VwvpODyPs1NRkbCMvJxkQ,"122,579","13,770"
4230,3,Jamie Kay NZ,New Zealand,https://jamiekay.co.nz/,https://www.facebook.com/groups/jamiekayVIP,,//instagram.com/jamiekay,https://nz.pinterest.com/jamiekaystore/,,,"133,772","9,866,227"
4231,4,Vapoureyes NZ,New Zealand,https://www.vapoureyes.co.nz/,https://www.facebook.com/VapoureyesNZ/,,https://www.instagram.com/vapoureyes_nz/,,,,"206,462","7,524"
4232,5,The Good Room,New Zealand,https://www.thegoodroom.co.nz/,https://www.facebook.com/thegoodroomstore/,,https://www.instagram.com/thegoodroom/,,,,"211,334","73,084"
4233,6,Game Kings,New Zealand,https://gamekings.co.nz/,https://facebook.com/gamekingsnz,,https://www.instagram.com/gamekingsnz/,,,,"246,939","52,481"
4234,7,Gorgeous Creatures,New Zealand,https://www.gorgeouscreatures.com.au/,https://www.facebook.com/Gorgeous.Creatures.NZ,https://twitter.com/KirstyMasonNZ,https://www.instagram.com/gorgeouscreaturesnz/,https://nz.pinterest.com/gcdecorgifts/,,https://www.youtube.com/channel/UCtFpRpiZXr0dEyQtHCMYDYQ?view_as=subscriber,"248,254","7,087"
4235,8,FABRIC,New Zealand,https://thisisfabric.com/,https://www.facebook.com/thisisFABRIC,,https://www.instagram.com/thisisfabric/,,,,"255,632","151,570"
4266,9,Lavender Backyard Garden®,New Zealand,https://www.lavenderbackyard.co.nz/,https://www.facebook.com/LavenderBackyardGarden,,https://www.instagram.com/lavenderbackyard/,,,,"255,714","34,691"
4237,10,DESIGNERS CANDY,New Zealand,https://designerscandy.co.nz/,https://www.facebook.com/DesignersCandy/,,,,,,"269,405","35,300"
4268,11,essano,New Zealand,https://essano.co.nz/,https://www.facebook.com/essanobeauty,,https://www.instagram.com/essano_beauty,,,,"272,408","9,727,591"
4269,12,Exerfly,New Zealand,https://exerflysport.com/,https://facebook.com/exerfly,,https://instagram.com/exerfly,,,https://www.youtube.com/channel/UCqfBWouxk_Go-4F2CIyHfFQ,"274,191","2,624"
4270,13,Stapleton Guitars,New Zealand,https://www.stapletonguitars.com/,https://www.facebook.com/stapletonguitars/,,https://www.instagram.com/stapletonguitars/,,,https://www.youtube.com/channel/UCw-tcXp9BcvD-gHL6JMsj6A,"287,906","9,459"
4241,14,VAPO - Vape NZ,New Zealand,https://www.vapo.co.nz/,https://www.facebook.com/VapoNZ/,,https://instagram.com/vaponz/,,,,"296,559","15,259"
4242,15,Dose and Co,New Zealand,https://doseandco.com/,https://www.facebook.com/doseandcowellness/,,https://www.instagram.com/doseandco/,,,,"298,669","24,789"
4243,16,Coffee Supreme,New Zealand,https://coffeesupreme.com/,https://www.facebook.com/coffeesupremenz/,,https://www.instagram.com/coffee_supreme/,,,https://www.youtube.com/channel/UCv1L3ts6Lh-JvR08DEZBghQ,"308,250","12,612"
4244,17,The Fabric Store Online,New Zealand,https://thefabricstoreonline.com/,https://www.facebook.com/thefabricstoreonline,https://twitter.com/lovefabricstore,https://www.instagram.com/wearethefabricstore/?hl=en,,,,"309,056","31,606"
4275,18,PureNature NZ,New Zealand,https://www.purenature.co.nz/,https://facebook.com/nzpurenature,,https://www.instagram.com/nzpurenature,,,https://www.youtube.com/channel/UCw50EM2VCoOXM89cNl3BERQ,"310,365","9,689,634"
4276,19,Shine On,New Zealand,https://shineon.co.nz/,https://www.facebook.com/Shineon-265575126815045/,,https://www.instagram.com/shineon.co.nz/,,,,"316,387","29,007"
4277,20,Trainers Skateboarding,New Zealand,https://trainers-store.co.nz/,https://www.facebook.com/trnrsonline/,,https://instagram.com/trainers/,,,,"338,217","13,035"
4248,21,MyTools,New Zealand,https://mytools.co.nz/,https://www.facebook.com/MyToolsNZ,,https://www.instagram.com/MyToolsNZ,,,,"361,657","8,213"
4249,22,My Sanctuary NZ,New Zealand,https://www.mysanctuary.co.nz/,https://www.facebook.com/mysanctuarynz,,https://www.instagram.com/mysanctuarynz/,,,https://www.youtube.com/channel/UCn0h0O0MUGUQzJZQItdGFww/playlists,"375,494","27,101"
4250,23,Trade Tools,New Zealand,https://tradetools.co.nz/,,,,,,,"430,958","23,119"
4281,24,Holistic Hair®,New Zealand,https://holistichair.co.nz/,https://www.facebook.com/holistichair,https://twitter.com/holistichair,https://instagram.com/holistichair,https://nz.pinterest.com/holistic_hair/,,https://www.youtube.com/channel/UCnhtMQp6cnnK3FZLicNahQg?view_as=subscriber,"445,671",129
4282,25,RELX Australia,New Zealand,https://www.relxaustralia.com/,https://www.facebook.com/relxaus,,https://www.instagram.com/relxaustralia__/,,,,"450,464",121
4283,26,Flo & Frankie,New Zealand,https://floandfrankie.com/,https://www.facebook.com/floandfrankieclothing/,,https://www.instagram.com/floandfrankie/,,,,"455,835","82,392"
4284,27,Ethique New Zealand u0026 Australia,New Zealand,https://ethiqueworld.com/,,,,,,,"466,651","24,656"
4285,28,Antipodes New Zealand,New Zealand,https://antipodesnature.com/,https://www.facebook.com/AntipodesSkincare,,https://www.instagram.com/antipodesskincare/,,,,"468,369","25,725"
4256,29,Spoil Me Gift Boxes & Online Gift Store,New Zealand,https://spoilme.co.nz/,https://www.facebook.com/spoilmegiftsnz/,,https://www.instagram.com/spoilmegiftsnz/,,,,"476,529","37,535"
4287,30,Hikoco,New Zealand,https://hikoco.co.nz/,https://www.facebook.com/hikoconz,,https://instagram.com/hikoconz,,,https://youtube.com/c/HIKOCO,"485,175","6,342"
